generation,deck_uid,win_rate
0,mfppwhumkthshwymsCvvAffhxqnrCt,1
0,BDvwbmfalCzhuBfaoakkeizdipjpzl,1
0,ovwboecexwtmuwkEdypoahrwAakAwy,2
0,pCgEalbEqtDxpbmcrlfxobzryifdje,1
0,chmAzDqitaaaBzEgbakltDqwqxoayA,0
0,ohdwwrbhdnCxccCyEBgawuzBqCaEpp,0
0,cBpbAtmEdiwwgyvEnfsCwEEmeotfap,0
0,oceuaaksrpykiruolCCvguxqoprmjC,2
0,igEqmnbDEcAdDmynwwvEeauxhuwjxk,1
0,kCEwEmrnwEnuwjkpybwbgAznmhavoa,0
0,AjqsByjiAoBmgvuucxwntjsvDccpCs,1
0,eqoonvprreEnDmbsvqCiyhjnyfugrn,4
0,kfwyjtmfnkknnfpAeyhalizqDfgDwC,2
0,ytmpnpEezsvjpAtguxDyhgjkgwgsga,2
0,tmEbCfCzigopzzztExtnpbiiwprzax,0
0,dhdzuvirlclxEhhsEstwductowxcaa,1
0,geEmjbdnCBdmrdpmucutavEhhhjdBr,0
0,mrwExevkdaBxecvAjBveewvuvpamum,3
0,wBiwfijuhcmykpEjCfxidBmtwejvdw,3
0,zlorEipsBuoBfkgsjkCbBoniteAehw,4
0,cBkpefhCmyaErgxianqxyxzhwvwiwv,1
0,vkvlDnrAzCgwfyoBwkDCtqvmszlutr,1
0,sdBlBwBzuixiswsqjrghCcpEdbAvmq,1
0,yezgxAjgCcgEohlcCDBqBjmoEeqEoa,1
0,gyufnqfjDvvfblDvpvBbcvefowvkja,1
0,oCmrvgnnhdhaelhgvcDxaitCfejmxk,4
0,zpvlBmclqEnEmzDaDkBasxlrurBhcB,0
0,vnjdpkcbxjBjmhxAhpooouupiezBCr,0
0,ypvDiEEuernbBghwwtieDBBttfrlsc,4
0,xtcdBmrqralooymtoupmauBjhngork,0
0,hBknieahossqlrygoBkjftxgAelmgB,2
0,zjxxBnfduwAjhppEqmdzjDEhimczEC,1
0,fnyzinnxoiogllzzfvAiBikvnzvoqi,1
0,CwoxeokAluhEtEuopbbvralxpkkmgA,1
0,cBhrtoquafbghodicueifnmECjtmid,4
0,thkzvrdgqrnxDhvbzqshdifmuqpwCp,0
0,cBrDwBsynEabwanzxdyzbydDzwxriv,0
0,osevqdogiukyavwwqkftvgrBpoDboo,5
0,psvrtajxwndxksmDrChkeDxgmBEyvD,2
0,riAwdyCxlgwotBmCqlcoogEwjwiylr,1
0,azwBChgzlounfkAertclriyDEClCth,0
0,mdvzstxCjbqcdtBqhdknvaobmAbwoc,1
0,xgeerdyfhavdzDwfxhAqawnqvrnkbj,3
0,rExbbifcciqxCrhliAqoAADyodfozy,0
0,wpmenoBCBgjDmByjiptyyhmayyEiam,0
0,vfmxjgjebbyhdcboAebtArvskzgxni,3
0,tpBycdmDrsjEhckCElxhkCgljlhbzm,2
0,ejratDyjqgdabznqkplEtAiEorktfj,3
0,loxxdpgAyzcpchllnEevatlAxedECB,1
0,mmfgbgthjijzbEofqldgztrlEmpnDm,0
0,EzBnAduqEhmrcbdBnouhsBvCciEfet,1
0,zoApCsihrrgxmjjmoqtEpdjjmvlhvd,1
0,AygdrDpufcuDkmCADbcDkBatwkjeyh,2
0,buBpfhpfhAEAeEgEtwhnncqkoaxDmr,1
0,EflgmpebjBdcaCpCqvEvjtdtwCevxg,1
0,dBoEBbjbufagzoilntdCBjsqjvsxtz,1
0,ueEykiBBmmvsryjAcebEmbpElcByme,2
0,EhnardfcfpsobmteDxDDCwEylsnzpD,1
0,tynjxlkgCozoqAqyrmyryCvdbzulEn,0
0,qqCrqAmdacgobEstwqjzubvtomgDik,3
0,cdCrjhqgCgjmoparkreaEDwtnrarpj,1
0,daEuovwtntnBapzxmrpknlxaCjqxre,1
0,xeagshogADaCDxeyBijbCpkgihqtrb,1
0,CpvbtfcuqErDbDdwvxdwwodqzyBxgu,0
0,mfCCivwagqdDvaklejjEAkpzbAgoDC,0
0,bgqsdwAousjcckDBizhxvnjzglnjlA,2
0,adErjvgchrdeAcnlrrlszbckfwakhb,3
0,pboyjlEugamqDEpvetmnBijpfpdmqw,2
0,xjuiuslpabycjqifeeunjnqlmkxedC,3
0,zEahBirbfltwptyDsvDaaArEfqlBmo,0
0,fArcyrmastoDeCvqsirgnpnEifAmpC,1
0,mmihbxnDymlarjhagnqumxrlwrqyry,0
0,fAbwsysbfexihekhfcqoegqojudibp,5
0,txDvDvEwpgbijmxzBDDpajeBgwDdta,1
0,phrrAaAiijawAeactqxkCxqqxBhcAr,1
0,evmhemrnsrxBrqDohAsvbfpnvgABgt,4
0,hwylcmtnkbpiBmcvcyyzxlzExiaegr,0
0,rsygfBEsjcjzEkyndqDxesAoshfyrd,0
0,aeAlfrratwcafEbCwAfamBAdAmetxu,3
