generation,deck_uid,win_rate
0,lnpmmccmsoralrjtkphubgposasjpr,1
0,niktsrntbbajudbghglapgnfgmquua,1
0,kpjeithblfkjasfaudhmqjqatefgoj,1
0,rdrrkffpdjqifuudftqkhsgclamsnk,1
0,eofibtodajklphqihkbblhaacmjjur,4
0,klmrentocjjkbjtrfinflnnkfgpjkn,2
0,bphcfgbrlgaeaerurheqcjbhsaefui,1
0,eugpcrkfkktgtabfsgkihjdgodlrug,1
0,iqkuohqeteofbtqdhnllnilpfepnmk,2
0,jlmgljporklilgklajulnoqupuokne,1
0,gccestglppektbudikionruakddkds,0
0,olshhajdhhfqhrjkfjhhcljjrapieh,3
0,bdnccomothjcrspmtmskgjqknmkbke,2
0,usmllqlkastceqegeeeqqofmdptsbq,0
0,mkegehhksumeffglqfaidsbogelgsd,1
0,ufihtjfoltmsijinsdjqnidlionokr,1
0,mmobreosaiiaehgcuegcomjopgsqkc,2
0,fimoibnpqnbghmmbmucncjfiperdmd,0
0,mqjqlfuiqltprtlsbtqhumfeoqgjrl,0
0,cmetcbkhkoehqmqnufrnajabrrmrld,3
0,pooahuneltqgttcnctagfhjsrisgou,1
0,stbtncptdpreuunmdbgrfcqtuujjbp,0
0,meuouloeljdcjelccbhbtthplgdhnb,2
0,qsqjeruohufjntmrlmkrpgrpukloqk,0
0,pcpffeqomqiehituplhtqilmpdbloh,4
0,gpnlsrsiifnfcmtbchnndcgahlfsrp,2
0,rfcposrfggkummcpolegrfpaerqdcs,0
0,bidsohjokkakgccephmikbbtihlrqd,3
0,nclcbhrdefkibcfbchqhksgmhahluc,3
0,kqgmrnducbjschrkkskgccgntettkt,1
0,mdcgpcdhutplmohqqujeoehqtdqhml,0
0,igkdjjqpmbihbjdnrflpsunntmakii,1
0,nhpbtmkcogcuskpjpanuphjcumgmff,4
0,nhtcqfpgfjdnaksaheabnmoolfcfsj,3
0,mgmapgjsluhagjelahullsadeoqffb,1
0,mcgshkpjqlkmdsrjraqtsdectbdpqo,1
0,cqspskskqtcplluhdgmigkunqscihs,0
0,qshjoqimtastkbmjaismujokkohant,1
0,jcidnifrmppdemectfbhtuhshhkqac,2
0,nimucsqoglqkdqpditfpsasboodmmh,1
0,bbjgqonaptqbojookfhfgsliafrsce,3
0,oueatkiffegfbpmqhutcnlksmbhipa,1
0,kfgfhjhpqcssgjupjnsnqbgmajsemn,1
0,crcdajeidulkjkaijfuaeekqdtoekl,1
0,cccktsemkoisemencpioqpnuofkgqc,4
0,nnaprgcgbtilanckbocpearefsertl,3
0,hmpgteaahfbfglerlbdikkqiatdadg,1
0,tppsekiiqcjianuqenblrogqarfurs,1
0,sthnafjfthqkbsbqbunqbamtkasujk,0
0,btetbdtmufmeuqqftqchmnetcaihnb,1
